"CS(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 1:08:28 AM"


28
q,CS,yerr
0.0991217,2.46399,
0.108073,1.30501,
0.128863,0.736641,
0.140741,0.536145,
0.152620,0.390219,
0.167454,0.302662,
0.205957,0.284154,
0.235566,0.293437,
0.282946,0.293607,
0.330323,0.303265,
0.383636,0.275863,
0.454724,0.235534,
0.528783,0.182817,
0.608754,0.156107,
0.700580,0.121194,
0.792434,0.0729641,
0.913910,0.0399470,
0.916871,0.0399484,
1.02650,0.0233034,
1.10650,0.0140276,
1.21910,0.00720617,
1.32281,0.00407182,
1.47097,0.00167522,
1.80284,0.000219987,
2.01180,5.49187e-05,1.5e-5
2.05614,4.25819e-05,
2.09752,3.24978e-05,1.0e-5
2.13152,2.56038e-05,
2.16846,1.98540e-05,5.0e-6
2.20985,1.61452e-05,
2.24680,1.29231e-05,4.0e-6
2.28227,1.03443e-05,
2.32366,8.27952e-06,3.0e-6
2.36208,6.21954e-06,
2.39608,5.05815e-06,1.5e-6
2.43746,3.98477e-06,
2.47589,3.24050e-06,1.0e-6
2.52171,2.47296e-06,
2.55571,2.17725e-06,9.0e-7
2.57640,1.88702e-06,
2.59710,1.74265e-06,6.5e-7
